"","go_id","description","Annotated","Significant","Expected","pval","padj","fold_enrichment","term_coverage","full_go"
"1","GO:0044782","cilium organization",352,181,109.7,"1.1e-15",1.71963e-11,1.64995442114859,0.514204545454545,"GO:0044782 cilium organization"
"2","GO:0060271","cilium assembly",320,162,99.73,"2.0e-13",1.5633e-09,1.62438584177279,0.50625,"GO:0060271 cilium assembly"
"3","GO:0044282","small molecule catabolic process",287,147,89.44,"8.2e-13",4.27302e-09,1.64355992844365,0.51219512195122,"GO:0044282 small molecule catabolic process"
"4","GO:0120036","plasma membrane bounded cell projection organization",1503,589,468.41,"2.4e-12",9.3798e-09,1.25744540039709,0.391882900864937,"GO:0120036 plasma membrane bounded cell projection organization"
"5","GO:0030030","cell projection organization",1549,603,482.75,"5.1e-12",1.594566e-08,1.24909373381668,0.389283408650742,"GO:0030030 cell projection organization"
"6","GO:0120031","plasma membrane bounded cell projection assembly",511,231,159.25,"9.4e-12",2.44917e-08,1.45054945054945,0.452054794520548,"GO:0120031 plasma membrane bounded cell projection assembly"
"7","GO:0030031","cell projection assembly",525,233,163.62,"6.9e-11",1.54096714285714e-07,1.42403129201809,0.443809523809524,"GO:0030031 cell projection assembly"
"8","GO:0006635","fatty acid beta-oxidation",69,47,21.5,"2.9e-10",5.6669625e-07,2.18604651162791,0.681159420289855,"GO:0006635 fatty acid beta-oxidation"
"9","GO:0072329","monocarboxylic acid catabolic process",107,64,33.35,"8.2e-10",1.42434e-06,1.91904047976012,0.598130841121495,"GO:0072329 monocarboxylic acid catabolic process"
"10","GO:0007224","smoothened signaling pathway",149,82,46.44,"1.2e-09",1.87596e-06,1.76571920757967,0.550335570469799,"GO:0007224 smoothened signaling pathway"
"11","GO:0016042","lipid catabolic process",268,130,83.52,"1.7e-09",2.41600909090909e-06,1.55651340996169,0.485074626865672,"GO:0016042 lipid catabolic process"
"12","GO:0016054","organic acid catabolic process",191,99,59.53,"1.9e-09",2.475225e-06,1.6630270451873,0.518324607329843,"GO:0016054 organic acid catabolic process"
