"","go_id","pval","padj","description","full_go","cluster"
"1","GO:0006396",3.86968551960519e-103,6.1396430454056e-99,"RNA processing","GO:0006396 RNA processing",1
"2","GO:0006807",1.87284943579234e-99,9.90487638276043e-96,"nitrogen compound metabolic process","GO:0006807 nitrogen compound metabolic process",1
"3","GO:0043170",1.25140898722037e-99,9.90487638276043e-96,"macromolecule metabolic process","GO:0043170 macromolecule metabolic process",1
"4","GO:0044237",1.59585018834297e-93,6.3299397720624e-90,"cellular metabolic process","GO:0044237 cellular metabolic process",1
"5","GO:0044238",7.85218376316116e-91,2.4916549517263e-87,"primary metabolic process","GO:0044238 primary metabolic process",1
"6","GO:0071704",4.99232906638072e-85,1.32013821611994e-81,"organic substance metabolic process","GO:0071704 organic substance metabolic process",1
"7","GO:0010467",9.63256664650637e-81,2.18329003447814e-77,"gene expression","GO:0010467 gene expression",1
"8","GO:0008152",2.37984069304552e-80,4.71981905448253e-77,"metabolic process","GO:0008152 metabolic process",1
"9","GO:0034641",1.81457128477522e-77,3.19888755602707e-74,"cellular nitrogen compound metabolic process","GO:0034641 cellular nitrogen compound metabolic process",1
"10","GO:0022613",1.12123395992506e-75,1.7789498008171e-72,"ribonucleoprotein complex biogenesis","GO:0022613 ribonucleoprotein complex biogenesis",1
"11","GO:0044260",2.70914535365136e-75,3.90757274373022e-72,"cellular macromolecule metabolic process","GO:0044260 cellular macromolecule metabolic process",1
"12","GO:0044267",1.16601529928825e-74,1.54166656154228e-71,"cellular protein metabolic process","GO:0044267 cellular protein metabolic process",1
"13","GO:0009987",4.03160220609173e-74,4.92041543091164e-71,"cellular process","GO:0009987 cellular process",1
"14","GO:0016070",4.46825177000854e-74,5.06380589878254e-71,"RNA metabolic process","GO:0016070 RNA metabolic process",1
"15","GO:0090304",3.0595346907608e-71,3.23617182690739e-68,"nucleic acid metabolic process","GO:0090304 nucleic acid metabolic process",1
"16","GO:0042254",2.70968246690371e-66,2.68698887624339e-63,"ribosome biogenesis","GO:0042254 ribosome biogenesis",1
"17","GO:0006139",5.42970108694259e-65,5.06750808502536e-62,"nucleobase-containing compound metabolic process","GO:0006139 nucleobase-containing compound metabolic process",1
"18","GO:0046483",7.32425321508403e-65,6.45592230614018e-62,"heterocycle metabolic process","GO:0046483 heterocycle metabolic process",1
"19","GO:0006725",2.16907243213209e-62,1.81128964253725e-59,"cellular aromatic compound metabolic process","GO:0006725 cellular aromatic compound metabolic process",1
"20","GO:0016071",1.25594205266763e-61,9.96338830381229e-59,"mRNA metabolic process","GO:0016071 mRNA metabolic process",1
"21","GO:1901360",3.94920543969963e-61,2.98371873839401e-58,"organic cyclic compound metabolic process","GO:1901360 organic cyclic compound metabolic process",1
"22","GO:0034660",6.73182813090434e-61,4.8548720511331e-58,"ncRNA metabolic process","GO:0034660 ncRNA metabolic process",1
"23","GO:0019538",2.11466720674627e-59,1.45875260444505e-56,"protein metabolic process","GO:0019538 protein metabolic process",1
"24","GO:0034470",6.71051047852244e-59,4.43620663550987e-56,"ncRNA processing","GO:0034470 ncRNA processing",1
"25","GO:0006364",2.04856186085645e-54,1.30009929937394e-51,"rRNA processing","GO:0006364 rRNA processing",1
