"","gene","cluster","external_gene_name"
"1","ENSMUSG00000000001",1,"Gnai3"
"2","ENSMUSG00000000028",1,"Cdc45"
"3","ENSMUSG00000000078",1,"Klf6"
"4","ENSMUSG00000000088",1,"Cox5a"
"5","ENSMUSG00000000120",1,"Ngfr"
"6","ENSMUSG00000000131",1,"Xpo6"
"7","ENSMUSG00000000134",1,"Tfe3"
"8","ENSMUSG00000000168",1,"Dlat"
"9","ENSMUSG00000000276",1,"Dgke"
"10","ENSMUSG00000000278",1,"Scpep1"
"11","ENSMUSG00000000282",1,"Mnt"
"12","ENSMUSG00000000290",1,"Itgb2"
"13","ENSMUSG00000000303",1,"Cdh1"
"14","ENSMUSG00000000339",1,"Rtca"
"15","ENSMUSG00000000340",1,"Dbt"
"16","ENSMUSG00000000359",1,"Rem1"
"17","ENSMUSG00000000378",1,"Ccm2"
"18","ENSMUSG00000000384",1,"Tbrg4"
"19","ENSMUSG00000000386",1,"Mx1"
"20","ENSMUSG00000000409",1,"Lck"
"21","ENSMUSG00000000440",1,"Pparg"
"22","ENSMUSG00000000531",1,"Tamalin"
"23","ENSMUSG00000000555",1,"Itga5"
"24","ENSMUSG00000000561",1,"Wdr77"
"25","ENSMUSG00000000568",1,"Hnrnpd"
"26","ENSMUSG00000000600",1,"Krit1"
"27","ENSMUSG00000000628",1,"Hk2"
"28","ENSMUSG00000000730",1,"Dnmt3l"
"29","ENSMUSG00000000740",1,"Rpl13"
"30","ENSMUSG00000000776",1,"Polr3d"
"31","ENSMUSG00000000782",1,"Tcf7"
"32","ENSMUSG00000000787",1,"Ddx3x"
"33","ENSMUSG00000000791",1,"Il12rb1"
"34","ENSMUSG00000000811",1,"Txnrd3"
"35","ENSMUSG00000000826",1,"Dnajc5"
"36","ENSMUSG00000000838",1,"Fmr1"
"37","ENSMUSG00000000916",1,"Nsun5"
"38","ENSMUSG00000000982",1,"Ccl3"
"39","ENSMUSG00000001016",1,"Ilf2"
"40","ENSMUSG00000001017",1,"Chtop"
"41","ENSMUSG00000001021",1,"S100a3"
"42","ENSMUSG00000001052",1,"Sec24b"
"43","ENSMUSG00000001056",1,"Nhp2"
"44","ENSMUSG00000001120",1,"Pcbp3"
"45","ENSMUSG00000001131",1,"Timp1"
"46","ENSMUSG00000001134",1,"Uxt"
"47","ENSMUSG00000001158",1,"Snrnp27"
"48","ENSMUSG00000001229",1,"Dpp9"
"49","ENSMUSG00000001248",1,"Gramd1a"
"50","ENSMUSG00000001305",1,"Rrp15"
"51","ENSMUSG00000001348",1,"Acp5"
"52","ENSMUSG00000001349",1,"Cnn1"
"53","ENSMUSG00000001366",1,"Fbxo9"
"54","ENSMUSG00000001380",1,"Hars"
"55","ENSMUSG00000001416",1,"Cct3"
"56","ENSMUSG00000001419",1,"Mef2d"
"57","ENSMUSG00000001424",1,"Snd1"
"58","ENSMUSG00000001436",1,"Slc19a1"
"59","ENSMUSG00000001440",1,"Kpnb1"
"60","ENSMUSG00000001444",1,"Tbx21"
"61","ENSMUSG00000001445",1,"Mrpl10"
"62","ENSMUSG00000001467",1,"Cyp51"
"63","ENSMUSG00000001472",1,"Tcf25"
"64","ENSMUSG00000001473",1,"Tubb6"
"65","ENSMUSG00000001507",1,"Itga3"
"66","ENSMUSG00000001517",1,"Foxm1"
"67","ENSMUSG00000001520",1,"Nrip2"
"68","ENSMUSG00000001521",1,"Tulp3"
"69","ENSMUSG00000001542",1,"Ell2"
"70","ENSMUSG00000001569",1,"Nom1"
"71","ENSMUSG00000001622",1,"Csn3"
"72","ENSMUSG00000001627",1,"Ifrd1"
"73","ENSMUSG00000001632",1,"Brpf1"
"74","ENSMUSG00000001642",1,"Akr1b3"
"75","ENSMUSG00000001674",1,"Ddx18"
"76","ENSMUSG00000001707",1,"Eef1e1"
"77","ENSMUSG00000001774",1,"Chordc1"
"78","ENSMUSG00000001783",1,"Rtcb"
"79","ENSMUSG00000001785",1,"Pwp1"
"80","ENSMUSG00000001786",1,"Fbxo7"
"81","ENSMUSG00000001833",1,"Septin7"
"82","ENSMUSG00000001847",1,"Rac1"
"83","ENSMUSG00000001870",1,"Ltbp1"
"84","ENSMUSG00000001909",1,"Trmt1"
"85","ENSMUSG00000001918",1,"Slc1a5"
"86","ENSMUSG00000001924",1,"Uba1"
"87","ENSMUSG00000001964",1,"Emd"
"88","ENSMUSG00000001995",1,"Sipa1l2"
"89","ENSMUSG00000001998",1,"Ap4e1"
"90","ENSMUSG00000002014",1,"Ssr4"
"91","ENSMUSG00000002017",1,"Fam98a"
"92","ENSMUSG00000002028",1,"Kmt2a"
"93","ENSMUSG00000002052",1,"Supt6"
"94","ENSMUSG00000002076",1,"Hsf2bp"
"95","ENSMUSG00000002210",1,"Smg9"
"96","ENSMUSG00000002222",1,"Rmnd5a"
"97","ENSMUSG00000002289",1,"Angptl4"
"98","ENSMUSG00000002297",1,"Dbf4"
"99","ENSMUSG00000002307",1,"Daxx"
"100","ENSMUSG00000002319",1,"Ipo4"
"101","ENSMUSG00000002320",1,"Tm9sf1"
"102","ENSMUSG00000002365",1,"Snx9"
"103","ENSMUSG00000002372",1,"Ranbp3"
"104","ENSMUSG00000002413",1,"Braf"
"105","ENSMUSG00000002477",1,"Snrpd1"
"106","ENSMUSG00000002489",1,"Tiam1"
"107","ENSMUSG00000002546",1,"Golga2"
"108","ENSMUSG00000002550",1,"Uck1"
"109","ENSMUSG00000002603",1,"Tgfb1"
"110","ENSMUSG00000002608",1,"Ccdc97"
"111","ENSMUSG00000002625",1,"Akap8l"
"112","ENSMUSG00000002635",1,"Pdcd2l"
"113","ENSMUSG00000002658",1,"Gtf2f1"
"114","ENSMUSG00000002660",1,"Clpp"
"115","ENSMUSG00000002679",1,"Med6"
"116","ENSMUSG00000002699",1,"Lcp2"
"117","ENSMUSG00000002728",1,"Naa20"
"118","ENSMUSG00000002733",1,"Plekha3"
"119","ENSMUSG00000002741",1,"Ykt6"
"120","ENSMUSG00000002763",1,"Pex6"
"121","ENSMUSG00000002768",1,"Mea1"
"122","ENSMUSG00000002797",1,"Ggct"
"123","ENSMUSG00000002812",1,"Flii"
"124","ENSMUSG00000002814",1,"Top3a"
"125","ENSMUSG00000002820",1,"Atg4d"
"126","ENSMUSG00000002825",1,"Qtrt1"
"127","ENSMUSG00000002845",1,"Tmem39a"
"128","ENSMUSG00000002846",1,"Timmdc1"
"129","ENSMUSG00000002897",1,"Il17ra"
"130","ENSMUSG00000002948",1,"Map2k7"
"131","ENSMUSG00000002949",1,"Timm44"
"132","ENSMUSG00000002983",1,"Relb"
"133","ENSMUSG00000002984",1,"Tomm40"
"134","ENSMUSG00000003032",1,"Klf4"
"135","ENSMUSG00000003062",1,"Stard3nl"
"136","ENSMUSG00000003119",1,"Cdk12"
"137","ENSMUSG00000003123",1,"Lipe"
"138","ENSMUSG00000003131",1,"Pafah1b2"
"139","ENSMUSG00000003135",1,"Cnot11"
"140","ENSMUSG00000003198",1,"Zfp959"
"141","ENSMUSG00000003200",1,"Sh3gl1"
"142","ENSMUSG00000003208",1,"Yju2"
"143","ENSMUSG00000003226",1,"Ranbp2"
"144","ENSMUSG00000003228",1,"Grk5"
"145","ENSMUSG00000003234",1,"Abcf3"
"146","ENSMUSG00000003235",1,"Eif2b5"
"147","ENSMUSG00000003269",1,"Cyth2"
"148","ENSMUSG00000003283",1,"Hck"
"149","ENSMUSG00000003348",1,"Mob3a"
"150","ENSMUSG00000003355",1,"Fkbp11"
"151","ENSMUSG00000003382",1,"Etv3"
"152","ENSMUSG00000003402",1,"Prkcsh"
"153","ENSMUSG00000003411",1,"Rab3b"
"154","ENSMUSG00000003429",1,"Rps11"
"155","ENSMUSG00000003435",1,"Supt5"
"156","ENSMUSG00000003438",1,"Timm50"
"157","ENSMUSG00000003476",1,"Crhr2"
"158","ENSMUSG00000003500",1,"Impdh1"
"159","ENSMUSG00000003527",1,"Ess2"
"160","ENSMUSG00000003541",1,"Ier3"
"161","ENSMUSG00000003545",1,"Fosb"
"162","ENSMUSG00000003549",1,"Ercc1"
"163","ENSMUSG00000003604",1,"Aven"
"164","ENSMUSG00000003746",1,"Man1a"
"165","ENSMUSG00000003752",1,"Itpkc"
"166","ENSMUSG00000003808",1,"Farsa"
"167","ENSMUSG00000003810",1,"Mast2"
"168","ENSMUSG00000003814",1,"Calr"
"169","ENSMUSG00000003848",1,"Nob1"
"170","ENSMUSG00000003863",1,"Ppfia3"
"171","ENSMUSG00000003865",1,"Gys1"
"172","ENSMUSG00000003868",1,"Ruvbl2"
"173","ENSMUSG00000003923",1,"Tfam"
"174","ENSMUSG00000003970",1,"Rpl8"
"175","ENSMUSG00000004018",1,"Fancl"
"176","ENSMUSG00000004069",1,"Dnaja3"
"177","ENSMUSG00000004100",1,"Ppan"
"178","ENSMUSG00000004113",1,"Cacna1b"
"179","ENSMUSG00000004127",1,"Trmt10a"
"180","ENSMUSG00000004233",1,"Wars2"
"181","ENSMUSG00000004264",1,"Phb2"
"182","ENSMUSG00000004267",1,"Eno2"
"183","ENSMUSG00000004268",1,"Emg1"
"184","ENSMUSG00000004270",1,"Lpcat3"
"185","ENSMUSG00000004317",1,"Clcn5"
"186","ENSMUSG00000004319",1,"Clcn3"
"187","ENSMUSG00000004347",1,"Pde1c"
"188","ENSMUSG00000004356",1,"Utp20"
"189","ENSMUSG00000004364",1,"Cul3"
"190","ENSMUSG00000004371",1,"Il11"
"191","ENSMUSG00000004393",1,"Ddx56"
"192","ENSMUSG00000004446",1,"Bid"
"193","ENSMUSG00000004451",1,"Ralb"
"194","ENSMUSG00000004455",1,"Ppp1cc"
"195","ENSMUSG00000004460",1,"Dnajb11"
"196","ENSMUSG00000004462",1,"Tbccd1"
"197","ENSMUSG00000004508",1,"Gab2"
"198","ENSMUSG00000004535",1,"Tax1bp1"
"199","ENSMUSG00000004591",1,"Pkn2"
"200","ENSMUSG00000004633",1,"Chn2"
"201","ENSMUSG00000004642",1,"Slbp"
"202","ENSMUSG00000004677",1,"Myo9b"
"203","ENSMUSG00000004768",1,"Rab23"
"204","ENSMUSG00000004771",1,"Rab11a"
"205","ENSMUSG00000004789",1,"Dlst"
"206","ENSMUSG00000004846",1,"Plod3"
"207","ENSMUSG00000004849",1,"Ap1s1"
"208","ENSMUSG00000004865",1,"Srpk1"
"209","ENSMUSG00000004880",1,"Lbr"
"210","ENSMUSG00000004885",1,"Crabp2"
"211","ENSMUSG00000004891",1,"Nes"
"212","ENSMUSG00000004896",1,"Rrnad1"
"213","ENSMUSG00000004929",1,"Thop1"
"214","ENSMUSG00000004931",1,"Apba3"
"215","ENSMUSG00000004947",1,"Dtx2"
"216","ENSMUSG00000004952",1,"Rasa4"
"217","ENSMUSG00000004980",1,"Hnrnpa2b1"
"218","ENSMUSG00000004994",1,"Ccdc130"
"219","ENSMUSG00000005034",1,"Prkacb"
"220","ENSMUSG00000005054",1,"Cstb"
"221","ENSMUSG00000005057",1,"Sh2b2"
"222","ENSMUSG00000005069",1,"Pex5"
"223","ENSMUSG00000005087",1,"Cd44"
"224","ENSMUSG00000005102",1,"Eif2ak4"
"225","ENSMUSG00000005103",1,"Wdr1"
"226","ENSMUSG00000005124",1,"Ccn4"
"227","ENSMUSG00000005125",1,"Ndrg1"
"228","ENSMUSG00000005148",1,"Klf5"
"229","ENSMUSG00000005204",1,"Senp3"
"230","ENSMUSG00000005262",1,"Ufd1"
"231","ENSMUSG00000005312",1,"Ubqln1"
"232","ENSMUSG00000005354",1,"Txn2"
"233","ENSMUSG00000005371",1,"Fbxo11"
"234","ENSMUSG00000005378",1,"Bud23"
"235","ENSMUSG00000005413",1,"Hmox1"
"236","ENSMUSG00000005481",1,"Ddx39a"
"237","ENSMUSG00000005483",1,"Dnajb1"
"238","ENSMUSG00000005506",1,"Celf1"
"239","ENSMUSG00000005514",1,"Por"
"240","ENSMUSG00000005534",1,"Insr"
"241","ENSMUSG00000005610",1,"Eif4g2"
"242","ENSMUSG00000005615",1,"Pcyt1a"
"243","ENSMUSG00000005621",1,"Zfp592"
"244","ENSMUSG00000005625",1,"Psmd4"
"245","ENSMUSG00000005667",1,"Mthfd2"
"246","ENSMUSG00000005699",1,"Pard6a"
"247","ENSMUSG00000005718",1,"Tfap4"
"248","ENSMUSG00000005732",1,"Ranbp1"
"249","ENSMUSG00000005779",1,"Psmb4"
"250","ENSMUSG00000005802",1,"Slc30a4"
"251","ENSMUSG00000005813",1,"Metap1"
"252","ENSMUSG00000005846",1,"Rsl1d1"
"253","ENSMUSG00000005892",1,"Trh"
"254","ENSMUSG00000005897",1,"Nr2c1"
"255","ENSMUSG00000005936",1,"Kctd20"
"256","ENSMUSG00000005973",1,"Rcn1"
"257","ENSMUSG00000006005",1,"Tpr"
"258","ENSMUSG00000006014",1,"Prg4"
"259","ENSMUSG00000006024",1,"Napa"
"260","ENSMUSG00000006050",1,"Sra1"
"261","ENSMUSG00000006057",1,"Atp5g1"
"262","ENSMUSG00000006058",1,"Snf8"
"263","ENSMUSG00000006095",1,"Tbcb"
"264","ENSMUSG00000006169",1,"Clint1"
"265","ENSMUSG00000006215",1,"Zbtb17"
"266","ENSMUSG00000006219",1,"Fblim1"
"267","ENSMUSG00000006262",1,"Mob1b"
"268","ENSMUSG00000006273",1,"Atp6v1b2"
"269","ENSMUSG00000006299",1,"Aamp"
"270","ENSMUSG00000006301",1,"Tmbim1"
"271","ENSMUSG00000006304",1,"Arpc2"
"272","ENSMUSG00000006333",1,"Rps9"
"273","ENSMUSG00000006335",1,"Tfpt"
"274","ENSMUSG00000006392",1,"Med8"
"275","ENSMUSG00000006411",1,"Nectin4"
"276","ENSMUSG00000006412",1,"Pfdn2"
"277","ENSMUSG00000006418",1,"Rnf114"
"278","ENSMUSG00000006423",1,"Steep1"
"279","ENSMUSG00000006442",1,"Srm"
"280","ENSMUSG00000006445",1,"Epha2"
"281","ENSMUSG00000006463",1,"Zdhhc24"
"282","ENSMUSG00000006471",1,"Ndor1"
"283","ENSMUSG00000006498",1,"Ptbp1"
"284","ENSMUSG00000006517",1,"Mvd"
"285","ENSMUSG00000006527",1,"Sfmbt1"
"286","ENSMUSG00000006538",1,"Ihh"
"287","ENSMUSG00000006585",1,"Cdt1"
"288","ENSMUSG00000006589",1,"Aprt"
"289","ENSMUSG00000006599",1,"Gtf2h1"
"290","ENSMUSG00000006638",1,"Abhd1"
"291","ENSMUSG00000006641",1,"Slc5a6"
"292","ENSMUSG00000006673",1,"Qrich1"
"293","ENSMUSG00000006705",1,"Pknox1"
"294","ENSMUSG00000006724",1,"Cyp27b1"
"295","ENSMUSG00000006732",1,"Mettl1"
"296","ENSMUSG00000006736",1,"Tspan31"
"297","ENSMUSG00000006740",1,"Kif5b"
"298","ENSMUSG00000006998",1,"Psmd2"
"299","ENSMUSG00000007029",1,"Vars"
"300","ENSMUSG00000007041",1,"Clic1"
"301","ENSMUSG00000007050",1,"Lsm2"
"302","ENSMUSG00000007458",1,"M6pr"
"303","ENSMUSG00000007476",1,"Lrrc8a"
"304","ENSMUSG00000007589",1,"Tinf2"
"305","ENSMUSG00000007594",1,"Hapln4"
"306","ENSMUSG00000007603",1,"Dus3l"
"307","ENSMUSG00000007617",1,"Homer1"
"308","ENSMUSG00000007646",1,"Rad51c"
"309","ENSMUSG00000007659",1,"Bcl2l1"
"310","ENSMUSG00000007670",1,"Khsrp"
"311","ENSMUSG00000007739",1,"Cct4"
"312","ENSMUSG00000007805",1,"Twist2"
"313","ENSMUSG00000007812",1,"Zfp655"
"314","ENSMUSG00000007817",1,"Zmiz1"
"315","ENSMUSG00000007836",1,"Hnrnpa0"
"316","ENSMUSG00000007867",1,"Ift43"
"317","ENSMUSG00000007880",1,"Arid1a"
"318","ENSMUSG00000007888",1,"Crlf1"
"319","ENSMUSG00000007892",1,"Rplp1"
"320","ENSMUSG00000008136",1,"Fhl2"
"321","ENSMUSG00000008153",1,"Clstn3"
"322","ENSMUSG00000008301",1,"Phax"
"323","ENSMUSG00000008305",1,"Tle1"
"324","ENSMUSG00000008333",1,"Snrpb2"
"325","ENSMUSG00000008348",1,"Ubc"
"326","ENSMUSG00000008373",1,"Prpf31"
"327","ENSMUSG00000008384",1,"Sertad1"
"328","ENSMUSG00000008429",1,"Herpud2"
"329","ENSMUSG00000008435",1,"Rdh13"
"330","ENSMUSG00000008450",1,"Nutf2"
"331","ENSMUSG00000008461",1,"Fut1"
"332","ENSMUSG00000008475",1,"Arpc5"
"333","ENSMUSG00000008489",1,"Elavl2"
"334","ENSMUSG00000008604",1,"Ubqln4"
"335","ENSMUSG00000008668",1,"Rps18"
"336","ENSMUSG00000008682",1,"Rpl10"
"337","ENSMUSG00000008855",1,"Hdac5"
"338","ENSMUSG00000008859",1,"Rala"
"339","ENSMUSG00000008932",1,"Slc1a7"
"340","ENSMUSG00000008976",1,"Gabpa"
"341","ENSMUSG00000009030",1,"Pdcl"
"342","ENSMUSG00000009073",1,"Nf2"
"343","ENSMUSG00000009079",1,"Ewsr1"
"344","ENSMUSG00000009092",1,"Derl3"
"345","ENSMUSG00000009207",1,"Lnpk"
"346","ENSMUSG00000009291",1,"Pttg1ip"
"347","ENSMUSG00000009293",1,"Ube2g2"
"348","ENSMUSG00000009376",1,"Met"
"349","ENSMUSG00000009470",1,"Tnpo1"
"350","ENSMUSG00000009471",1,"Myod1"
"351","ENSMUSG00000009487",1,"Otog"
"352","ENSMUSG00000009535",1,"Rnmt"
"353","ENSMUSG00000009545",1,"Kcnq1"
"354","ENSMUSG00000009549",1,"Srp14"
"355","ENSMUSG00000009555",1,"Cdk9"
"356","ENSMUSG00000009566",1,"Fpgs"
"357","ENSMUSG00000009630",1,"Ppp2cb"
"358","ENSMUSG00000009647",1,"Mcu"
"359","ENSMUSG00000009687",1,"Fxyd5"
"360","ENSMUSG00000009741",1,"Ubp1"
"361","ENSMUSG00000009828",1,"Cilk1"
"362","ENSMUSG00000009907",1,"Vps4b"
"363","ENSMUSG00000009927",1,"Rps25"
"364","ENSMUSG00000010025",1,"Aldh3a2"
"365","ENSMUSG00000010045",1,"Tmem115"
"366","ENSMUSG00000010048",1,"Ifrd2"
"367","ENSMUSG00000010067",1,"Rassf1"
"368","ENSMUSG00000010080",1,"Epn3"
"369","ENSMUSG00000010095",1,"Slc3a2"
"370","ENSMUSG00000010110",1,"Stx5a"
"371","ENSMUSG00000010205",1,"Raver1"
"372","ENSMUSG00000010376",1,"Nedd8"
"373","ENSMUSG00000010392",1,"Gosr1"
"374","ENSMUSG00000010453",1,"Kansl3"
"375","ENSMUSG00000010517",1,"Faf1"
"376","ENSMUSG00000010554",1,"Mettl16"
"377","ENSMUSG00000010608",1,"Rbm25"
"378","ENSMUSG00000010751",1,"Tnfrsf22"
"379","ENSMUSG00000010755",1,"Cars"
"380","ENSMUSG00000010830",1,"Kdelr3"
"381","ENSMUSG00000011008",1,"Mcoln2"
"382","ENSMUSG00000011034",1,"Slc5a1"
"383","ENSMUSG00000011096",1,"Akt1s1"
"384","ENSMUSG00000011114",1,"Tbrg1"
"385","ENSMUSG00000011179",1,"Odc1"
"386","ENSMUSG00000011254",1,"Thg1l"
"387","ENSMUSG00000011256",1,"Adam19"
"388","ENSMUSG00000011257",1,"Pabpc4"
"389","ENSMUSG00000011306",1,"Sugp1"
"390","ENSMUSG00000011427",1,"Zfp790"
"391","ENSMUSG00000011877",1,"Git1"
"392","ENSMUSG00000011958",1,"Bnip2"
"393","ENSMUSG00000011960",1,"Ccnt1"
"394","ENSMUSG00000012117",1,"Dhdds"
"395","ENSMUSG00000012123",1,"Crybg2"
"396","ENSMUSG00000012296",1,"Tjap1"
"397","ENSMUSG00000012405",1,"Rpl15"
"398","ENSMUSG00000012422",1,"Tmem167"
"399","ENSMUSG00000012483",1,"Rpa3"
"400","ENSMUSG00000012519",1,"Mlkl"
"401","ENSMUSG00000012535",1,"Tnpo3"
"402","ENSMUSG00000012819",1,"Cdh23"
"403","ENSMUSG00000012848",1,"Rps5"
"404","ENSMUSG00000013076",1,"Amotl1"
"405","ENSMUSG00000013160",1,"Atp6v0d1"
"406","ENSMUSG00000013415",1,"Igf2bp1"
"407","ENSMUSG00000013418",1,"B4galnt2"
"408","ENSMUSG00000013629",1,"Cad"
"409","ENSMUSG00000013646",1,"Sh3bp5l"
"410","ENSMUSG00000013662",1,"Atad1"
"411","ENSMUSG00000013701",1,"Timm23"
"412","ENSMUSG00000013736",1,"Trnt1"
"413","ENSMUSG00000013846",1,"St3gal1"
"414","ENSMUSG00000014039",1,"Prdm15"
"415","ENSMUSG00000014074",1,"Rnf168"
"416","ENSMUSG00000014077",1,"Chp1"
"417","ENSMUSG00000014177",1,"Tvp23b"
"418","ENSMUSG00000014301",1,"Pam16"
"419","ENSMUSG00000014349",1,"Ube2z"
"420","ENSMUSG00000014353",1,"Tmem87b"
"421","ENSMUSG00000014355",1,"Anapc1"
"422","ENSMUSG00000014361",1,"Mertk"
"423","ENSMUSG00000014402",1,"Tsg101"
"424","ENSMUSG00000014444",1,"Piezo1"
"425","ENSMUSG00000014470",1,"Rnf166"
"426","ENSMUSG00000014503",1,"Pkd2l2"
"427","ENSMUSG00000014504",1,"Srp19"
"428","ENSMUSG00000014550",1,"Rbsn"
"429","ENSMUSG00000014592",1,"Camta1"
"430","ENSMUSG00000014599",1,"Csf1"
"431","ENSMUSG00000014601",1,"Strip1"
